Flow Duration,Total Backward Packets,FIN Flag Count,PortScan_Predicted,Ground_Label
3,0,0,0,0
109,1,0,0,0
52,1,0,1,0
34,1,0,1,0
3,0,0,0,0
1022,0,0,0,0
4,0,0,0,0
42,1,0,1,0
4,0,0,0,0
4,0,0,0,0
3,0,0,0,0
1,0,0,0,0
4,0,0,0,0
3,0,0,0,0
54,1,0,1,1
1,0,0,0,0
154,1,0,0,0
1,0,0,0,0
118,1,0,0,0
239,1,0,0,0
1,0,0,0,0
1,0,0,0,0
4,0,0,0,0
5,0,0,0,0
4,0,0,0,0
4,0,0,0,0
54,1,0,1,1
42,0,0,0,0
4,0,0,0,0
3,0,0,0,0
3,0,0,0,0
737,1,0,0,0
3,0,0,0,0
3,0,0,0,0
3,0,0,0,0
276,0,0,0,0
3,0,0,0,0
3,0,0,0,0
1,0,0,0,0
105,1,0,0,0
66,1,0,1,0
68,1,0,1,0
48,0,0,0,0
3,0,0,0,0
3,0,0,0,0
16,1,0,1,0
63,1,0,1,0
17,1,0,1,0
123,1,0,0,0
4,0,0,0,0
4,0,0,0,0
49,0,0,0,0
3,0,0,0,0
46,1,0,1,0
3,0,0,0,0
3,0,0,0,0
251170,0,0,0,0
49,0,0,0,0
62,1,0,1,1
175,1,0,0,0
37,1,0,1,1
3,0,0,0,0
3,0,0,0,0
96,1,0,1,0
1,0,0,0,0
0,0,0,0,0
48,0,0,0,0
1,0,0,0,0
999588,0,0,0,0
75,1,0,1,0
32,1,0,1,0
71693,2,0,0,0
60738,2,0,0,0
126188,25,0,0,0
8003,6,0,0,0
1,0,0,0,0
50,2,0,1,0
75,1,0,1,0
208,0,0,0,0
514004,1,0,0,0
60130920,3,0,0,0
60130912,3,0,0,0
3895966,1,0,0,0
3895242,1,0,0,0
3896308,1,0,0,0
3895052,1,0,0,0
3896461,1,0,0,0
31020664,4,0,0,0
83718,2,0,0,0
10706606,24,0,0,0
60166984,4,0,0,0
24027,2,0,0,0
1029807,3,0,0,0
2979847,1,0,0,0
28315,1,0,0,0
28466,1,0,0,0
101027175,12,0,0,0
330,2,0,0,0
221,2,0,0,0
302,2,0,0,0
283,2,0,0,0
166,2,0,1,0
275,2,0,0,0
266,2,0,0,0
102033,2,0,0,0
51453,2,0,0,0
1140,2,0,0,0
293,2,0,0,0
1333970,42,0,0,0
187,1,0,0,0
1335604,42,0,0,0
111,1,0,0,0
143347,60,0,0,0
143899,58,0,0,0
142605,58,0,0,0
142499,53,0,0,0
23828,31,1,1,0
119090,28,0,0,0
23841,31,1,1,0
199037,63,0,0,0
142923,60,0,0,0
446800,28,0,0,0
141851,55,0,0,0
145376,60,0,0,0
142904,56,0,0,0
142508,59,0,0,0
