Flow Duration,Flow Bytes/s,Fwd Packets/s,DDoS_Predicted,Ground_Label
3,4000000,666667,0,0
109,110092,9174,0,0
52,230769,19231,0,0
34,352941,29412,0,0
3,4000000,666667,0,0
1022,11742,1957,0,0
4,3000000,500000,0,0
42,285714,23810,0,0
4,3000000,500000,0,0
4,9250000,500000,0,0
3,12300000,666667,1,0
1,37000000,2000000,1,0
4,9250000,500000,0,0
3,14300000,1000000,1,0
54,0,18519,0,0
1,0,2000000,0,0
154,0,6494,0,0
1,0,2000000,0,0
118,0,8475,0,0
239,0,4184,0,0
1,0,3000000,0,0
1,0,2000000,0,0
4,62000000,500000,1,0
5,50800000,600000,1,0
4,3000000,500000,0,0
4,10800000,750000,1,0
54,0,18519,0,0
42,1023810,71429,0,0
4,9250000,500000,0,0
3,12300000,666667,1,0
3,12300000,666667,1,0
737,58345,2714,0,0
3,12300000,666667,1,0
3,12300000,666667,1,0
3,12300000,666667,1,0
276,155797,10870,0,0
3,4000000,666667,0,0
3,4000000,666667,0,0
1,12000000,2000000,1,0
105,114286,9524,0,0
66,181818,15152,0,0
68,176471,14706,0,0
48,250000,41667,0,0
3,4000000,666667,0,0
3,4000000,666667,0,0
16,750000,62500,0,0
63,190476,15873,0,0
17,705882,58824,0,0
123,97561,8130,0,0
4,3000000,500000,0,0
4,3000000,500000,0,0
49,244898,40816,0,0
3,4000000,666667,0,0
46,0,21739,0,0
3,4000000,666667,0,0
3,4000000,666667,0,0
251170,72,12,0,0
49,244898,40816,0,0
62,0,16129,0,0
175,102857,11429,0,0
37,0,27027,0,0
3,4000000,666667,0,0
3,4000000,666667,0,0
96,125000,10417,0,0
1,12000000,2000000,1,0
0,0,0,0,0
48,250000,41667,0,0
1,12000000,2000000,1,0
999588,12,2,0,0
75,160000,13333,0,0
32,375000,31250,0,0
71693,3487,28,0,0
60738,4511,33,0,0
126188,4882,158,0,0
8003,2486193,1874,0,0
1,617000000,2000000,1,0
50,0,20000,0,0
75,106667,40000,0,0
208,221154,19231,0,0
514004,12,6,0,0
60130920,29,0,1,0
60130912,30,0,1,0
3895966,46,1,1,0
3895242,46,1,1,0
3896308,46,1,1,0
3895052,46,1,1,0
3896461,46,1,1,0
31020664,27,0,1,0
83718,5781,48,0,0
10706606,1155,3,1,0
60166984,80,0,1,0
24027,6992,83,0,0
1029807,17,3,1,0
2979847,0,1,1,0
28315,424,35,0,0
28466,422,35,0,0
101027175,20,0,1,0
330,824242,6061,0,0
221,814480,9050,0,0
302,1754967,6623,0,0
283,1872792,7067,0,0
166,2240964,12048,0,0
275,1345455,7273,0,0
266,1526316,7519,0,0
102033,2548,20,0,0
51453,5209,39,0,0
1140,278947,1754,0,0
293,1365188,6826,0,0
1333970,7210,31,1,0
187,0,5348,0,0
1335604,7010,31,1,0
111,0,9009,0,0
143347,767899,328,0,0
143899,774919,320,0,0
142605,771894,316,0,0
142499,711416,323,0,0
23828,2498321,1133,0,0
119090,387892,193,0,0
23841,2496707,1091,0,0
199037,509322,236,0,0
142923,678771,322,0,0
446800,100148,51,0,0
141851,704443,331,0,0
145376,767087,351,0,0
142904,739699,329,0,0
142508,741881,351,0,0
142561,782149,337,0,0
142389,783221,365,0,0
142403,739036,316,0,0
142089,743942,317,0,0
142098,743980,345,0,0
128912,347105,163,0,0
143215,778703,349,0,0
185921,576471,258,0,0
131198,716307,221,0,0
187746,539985,256,0,0
188450,537936,249,0,0
300724,346776,163,0,0
195652,547830,250,0,0
143173,738477,356,0,0
142748,771121,329,0,0
142235,722860,330,0,0
152597,635583,275,0,0
142263,743159,330,0,0
142478,741995,344,0,0
125417,795506,231,0,0
188411,568725,228,0,0
141785,670727,310,0,0
155181,1400687,503,0,0
200946,504484,234,0,0
142298,742765,316,0,0
